bk1 (511, 574) R0
bk10a (511, 455) R0
bk10b (1022, 707) R0
bk10c (1197, 1036) R0
bk11 (714, 847) R0
bk12 (630, 0) R0
bk13 (0, 455) R0
bk14a (322, 966) R0
bk14b (728, 728) R0
bk14c (728, 966) R0
bk15a (1022, 441) R0
bk15b (1106, 0) R0
bk16 (1078, 910) R0
bk17a (140, 455) R0
bk2 (889, 378) R0
bk20 (140, 637) R0
bk21 (413, 707) R0
bk4 (0, 322) R0
bk5a (1183, 770) R0
bk5b (1141, 567) R0
bk5c (1141, 336) R0
bk7 (889, 966) R0
bk8a (896, 133) R0
bk8b (770, 0) R0
bk9a (532, 966) R0
bk9b (1197, 917) R0
bk9c (322, 847) R0
bk17b (133, 0) R0
bk18 (315, 0) R0
bk19 (133, 203) R0
bk9d (413, 203) R90
bk3 (0, 0) R0
bk6 (497, 0) R0
