M001 (0, 0) R0
M002 (1890, 3164) R0
M003 (4788, 0) R0
M004 (1708, 0) R0
M005 (3192, 3164) R0
M006 (0, 4186) R0
M007 (6454, 2450) R0
M008 (4312, 1610) R0
M009 (4298, 3164) R0
M010 (6468, 5922) R0
M011 (5166, 3990) R0
M012 (5278, 3584) R0
M013 (6762, 5488) R0
M014 (6048, 2296) R0
M015 (6454, 1610) R0
M016 (5306, 5474) R0
M017 (6454, 3668) R0
M018 (1134, 6146) R0
M020 (5684, 5474) R0
M022 (5502, 3220) R0
M023 (0, 5838) R0
M024 (4886, 6272) R0
M025 (6146, 5152) R0
M026 (6314, 4424) R0
M027 (6090, 3584) R0
M028 (1218, 5068) R0
M029 (4956, 2170) R0
M031 (5446, 2170) R0
M032 (5530, 4424) R0
M033 (0, 3234) R0
M034 (3724, 3304) R0
M035 (4312, 4592) R0
M036 (5628, 1008) R0
M037 (0, 5068) R0
M038 (4312, 3626) R0
M039 (4942, 5376) R0
M040 (4760, 3626) R0
M041 (5166, 4522) R0
M042 (6860, 6160) R0
M043 (2324, 5054) R0
M044 (2562, 3164) R0
M045 (4956, 1008) R0
M046 (2674, 4550) R0
M047 (3878, 4592) R0
M049 (4494, 5796) R0
M019 (2618, 1610) R0
M021 (3010, 1610) R0
M030 (1708, 2436) R0
M048 (3010, 2436) R0
