m23 (565, 817) R0
m24 (699, 645) R0
m25 (633, 731) R0
m26 (256, 709) R0
m27 (324, 441) R0
m28 (651, 731) R0
m29 (583, 817) R0
m30 (120, 441) R0
m31 (324, 595) R0
m32 (600, 303) R0
m33 (489, 465) R0
m34 (644, 366) R0
m35 (417, 591) R0
m36 (304, 706) R0
m37 (386, 870) R0
m38 (651, 629) R0
m39 (434, 870) R0
m40 (651, 662) R0
m47 (304, 837) R0
m48 (603, 492) R0
m49 (743, 865) R0
m62 (603, 558) R0
m63 (551, 717) R0
m64 (651, 492) R0
m65 (304, 769) R0
m66 (533, 784) R0
m67 (581, 784) R0
m68 (705, 0) R0
m69 (612, 194) R0
m74 (510, 528) R0
m75 (510, 591) R0
m76 (352, 832) R0
m77 (120, 696) R0
m78 (612, 0) R0
m79 (409, 658) R0
m80 (669, 558) R0
m81 (703, 558) R0
m82 (397, 794) R0
m83 (599, 690) R0
m84 (431, 799) R0
m85 (465, 799) R0
m86 (651, 695) R0
m87 (499, 870) R0
m88 (409, 721) R0
m89 (506, 654) R0
m90 (603, 429) R0
m91 (603, 624) R0
m92 (601, 817) R0
m93 (619, 817) R0
m94 (669, 731) R0
m95 (687, 731) R0
m96 (637, 817) R0
m97 (655, 817) R0
m98 (492, 303) R0
m99 (492, 399) R0
m100 (499, 784) R0
m101 (745, 790) R0
m102 (713, 761) R0
m103 (705, 733) R0
m104 (721, 723) R0
m105 (737, 506) R0
m106 (729, 723) R0
m107 (737, 648) R0
m108 (745, 506) R0
m109 (745, 648) R0
m110 (0, 252) R0
m5 (93, 189) R0
m8 (186, 189) R0
m6 (93, 126) R0
m7 (186, 126) R0
m1 (0, 126) R0
m4 (279, 126) R0
m14 (93, 63) R0
m15 (186, 63) R0
m13 (0, 189) R0
m16 (279, 189) R0
m10 (93, 0) R0
m11 (186, 0) R0
m2 (0, 63) R0
m3 (279, 63) R0
m9 (0, 0) R0
m12 (279, 0) R0
m21 (492, 101) R0
m22 (552, 101) R0
m18 (492, 202) R0
m19 (552, 202) R0
m17 (492, 0) R0
m20 (552, 0) R0
m41 (120, 625) R0
m42 (290, 625) R0
m43 (188, 625) R0
m44 (222, 625) R0
m45 (154, 625) R0
m46 (256, 625) R0
m55 (120, 378) R0
m56 (399, 378) R0
m50 (213, 378) R0
m53 (306, 378) R0
m58 (213, 252) R0
m61 (306, 252) R0
m51 (120, 315) R0
m52 (399, 315) R0
m59 (213, 315) R0
m60 (306, 315) R0
m54 (120, 252) R0
m57 (399, 252) R0
m70 (120, 830) R0
m71 (222, 830) R0
m72 (154, 830) R0
m73 (188, 830) R0
